NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;IDADE;TP_SEXO;ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;IN_TP_ENSINO;TP_COR_RACA;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NU_NOTA_REDACAO;Q003
140000000925;2014;CUIABA;MT;43;F;1;2004;1;1;1;525.1;540.8;522.2;460.6;540;G
140000000926;2014;BRASILIA;DF;25;F;1;2006;2;1;3;;;;;0;Q
140000000927;2014;CAUCAIA;CE;19;F;1;2013;1;1;1;457.9;516.7;464.7;396.1;520;B
140000000928;2014;SAO CARLOS;SP;21;F;1;2011;1;1;1;;;;;0;D
140000000929;2014;SAO PAULO;SP;19;F;1;2012;2;1;2;;;;;0;C
140000000930;2014;LONDRINA;PR;31;M;1;2004;1;1;1;;;;;0;B
140000000931;2014;SOUSA;PB;26;M;1;2005;2;1;3;627.6;688.8;619.4;589.2;560;C
140000000932;2014;BRASILIA;DF;24;F;1;2008;1;1;3;;;;;0;D
140000000933;2014;SAO PAULO;SP;25;M;1;2007;1;1;2;490.3;583.1;555.2;471.6;460;C
140000000934;2014;OSASCO;SP;21;F;1;2010;1;1;3;562.5;652.8;588.6;609;520;E
140000000935;2014;TERESINA;PI;20;M;1;2012;2;1;1;606.1;630.1;611.5;673.2;720;M
